"today";"Skip origin?";"datetime";"Voucher ID #";"Time of truck arrival estimate?";"How full is the skip on arrival?";"day skip delivered at compost facility";"predominant type of inorganic waste in the skip?";"day skip sorted and trash volume measurements recorded?";"Todays date and time";"Volume of inorganic waste in the skip";"Total trash volume in the skip";"Is market stakeholder (market master or cleaner) present to verify quality measurements?";"amount of money paid to market stakeholder?";"Any other observation?";"The end";"__version__";"_version_";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"_tags";"_index"
"2021-06-24";"Bangwe market";"2021-06-24T14:23:00.000+02:00";"18";"2021-06-24T14:24:00.000+02:00";"7";"Thursday";"Banana leaves";"Thursday";"2021-06-29T12:28:00.000+02:00";"2.1";"73";"no";"15500";"";"";"vFETBfzLzcfX8HLapy7GXv";"vFyC7ftn5bWCnU86rb4eL4";"190025219";"db345bb1-efa8-4b34-ba0e-a8769737ecc8";"2021-07-01T08:20:15";"";"";"submitted_via_web";"";"";"1"
"2021-06-04";"Bangwe market";"2021-06-04T08:45:00.000+02:00";"2";"2021-06-04T15:45:00.000+02:00";"7";"Friday";"Sugarcane remains";"Friday";"2021-06-04T17:14:00.000+02:00";"2";"70";"no";"15500";"";"";"";"";"184372717";"b1d19642-3191-4f90-8f2b-8ba2c265663a";"2021-06-11T07:19:45";"";"";"submitted_via_web";"";"";"2"
"2021-06-09";"Bangwe market";"2021-06-09T09:55:00.000+02:00";"5";"";"7";"Friday";"Banana remains";"Thursday";"2021-06-10T14:11:00.000+02:00";"2";"70";"no";"15500";"";"";"";"";"184372722";"89a2c2be-4113-463a-a014-cc5fc6fa9f54";"2021-06-11T07:19:45";"";"";"submitted_via_web";"";"";"3"
"2021-06-11";"Bangwe market";"2021-06-11T08:12:00.000+02:00";"9";"2021-06-14T08:58:00.000+02:00";"7";"Monday";"Surgarcane remains";"Monday";"2021-06-14T19:59:00.000+02:00";"1";"35";"no";"15500";"";"";"";"";"185942771";"70bf2c01-e9e6-4f00-b32b-6f11a78db6ea";"2021-06-17T06:38:17";"";"";"submitted_via_web";"";"";"4"
"2021-07-08";"Bangwe market";"2021-07-08T12:39:00.000+02:00";"24";"2021-07-09T14:08:00.000+02:00";"7";"Thursday";"Banana leaves";"Friday";"2021-07-09T14:08:00.000+02:00";"2.0";"70";"no";"0";"";"";"vFETBfzLzcfX8HLapy7GXv";"vFyC7ftn5bWCnU86rb4eL4";"192940847";"3bccefab-770f-46c3-8846-f764bac9dc2a";"2021-07-13T06:29:58";"";"";"submitted_via_web";"";"";"5"
"2021-08-11";"Bangwe market";"2021-08-11T10:47:00.000+02:00";"38";"2021-08-11T10:31:00.000+02:00";"7";"Wednesday";"Surgarcane remains";"Wednesday";"2021-08-11T15:26:00.000+02:00";"21.0";"735";"no";"0";"";"";"vFETBfzLzcfX8HLapy7GXv";"vFyC7ftn5bWCnU86rb4eL4";"206065879";"ad40a5fe-e528-4c4b-9eac-8de65dd01355";"2021-08-23T10:40:17";"";"";"submitted_via_web";"";"";"6"
"2021-08-19";"Bangwe market";"2021-08-19T10:32:00.000+02:00";"28";"2021-08-19T16:30:00.000+02:00";"7";"Thursday";"Mixed market waste";"Friday";"2021-08-20T09:43:00.000+02:00";"19.0";"665";"no";"0";"";"";"vFETBfzLzcfX8HLapy7GXv";"vFyC7ftn5bWCnU86rb4eL4";"206065903";"f59e3bbc-2719-4831-a62f-aaefbdb71be6";"2021-08-23T10:40:19";"";"";"submitted_via_web";"";"";"7"
"2021-08-26";"Bangwe market";"2021-08-26T10:17:00.000+02:00";"30";"2021-08-27T14:31:00.000+02:00";"7";"Thursday";"Mixed market waste";"Friday";"2021-08-27T14:31:00.000+02:00";"18.0";"630";"no";"0";"";"";"vFETBfzLzcfX8HLapy7GXv";"vFyC7ftn5bWCnU86rb4eL4";"209302948";"e805d76c-292c-4b5e-88c8-efe503d3751a";"2021-08-31T09:32:32";"";"";"submitted_via_web";"";"";"8"
"2021-08-31";"Bangwe market";"2021-08-31T09:15:00.000+02:00";"41";"2021-08-31T16:01:00.000+02:00";"7";"Tuesday";"Mixed waste";"Tuesday";"2021-08-31T16:33:00.000+02:00";"1.0";"35";"no";"0";"";"";"vFETBfzLzcfX8HLapy7GXv";"vFyC7ftn5bWCnU86rb4eL4";"211217516";"e9d41f5e-8ea2-490d-b49c-9eea36869773";"2021-09-06T07:56:20";"";"";"submitted_via_web";"";"";"9"
"2021-09-07";"Bangwe market";"2021-09-03T13:05:00.000+02:00";"47";"2021-09-05T14:06:00.000+02:00";"7";"Saturday";"Mixed market waste";"Monday";"2021-09-07T10:06:00.000+02:00";"25.0";"875";"no";"0";"";"";"vFETBfzLzcfX8HLapy7GXv";"vFyC7ftn5bWCnU86rb4eL4";"211636171";"b5e304fd-5287-4b1a-9530-031174d4d1f1";"2021-09-07T10:28:20";"";"";"submitted_via_web";"";"";"10"
"2021-09-07";"Bangwe market";"2021-09-03T14:07:00.000+02:00";"45";"2021-09-05T13:07:00.000+02:00";"7";"Saturday";"";"Monday";"2021-09-07T10:07:00.000+02:00";"29.0";"1015";"no";"0";"";"";"vFETBfzLzcfX8HLapy7GXv";"vFyC7ftn5bWCnU86rb4eL4";"211636177";"d7707cfe-3ebc-4906-889a-d89c195e3115";"2021-09-07T10:28:21";"";"";"submitted_via_web";"";"";"11"
"2021-09-08";"Bangwe market";"2021-09-07T10:00:00.000+02:00";"48";"2021-09-07T11:45:00.000+02:00";"7";"Tuesday";"Market waste";"Wednesday";"2021-09-08T13:14:00.000+02:00";"1.0";"35";"no";"0";"";"";"vFETBfzLzcfX8HLapy7GXv";"vFyC7ftn5bWCnU86rb4eL4";"212021702";"2c8d0269-7bfd-41bd-a080-6f61da4c2f35";"2021-09-08T11:20:51";"";"";"submitted_via_web";"";"";"12"
