"today";"Skip origin?";"datetime";"Voucher ID #";"Time of truck arrival estimate?";"How full is the skip on arrival?";"day skip delivered at compost facility";"predominant type of inorganic waste in the skip?";"day skip sorted and trash volume measurements recorded?";"Todays date and time";"Volume of inorganic waste in the skip";"Total trash volume in the skip";"Is market stakeholder (market master or cleaner) present to verify quality measurements?";"amount of money paid to market stakeholder?";"Any other observation?";"The end";"__version__";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"_tags";"_index"
"2021-07-01";"Chigumula market";"2021-06-28T12:06:00.000+02:00";"21";"2021-06-28T10:07:00.000+02:00";"7";"Monday";"Surgarcane remains";"Wednesday";"2021-06-30T16:07:00.000+02:00";"2.9";"101";"no";"0";"";"";"vx7nuVNaQyni9RPaRqYUXR";"190025232";"8aed2147-2dda-4b23-aac8-842ad45f1133";"2021-07-01T08:20:16";"";"";"submitted_via_web";"";"";"1"
"2021-06-04";"Chigumula market";"2021-06-04T13:41:00.000+02:00";"1";"2021-06-04T15:46:00.000+02:00";"7";"Friday";"Surgarcane remains";"Friday";"2021-06-04T15:47:00.000+02:00";"4";"140";"no";"14000";"";"";"";"184372713";"48fb3edc-33a7-4123-b9b8-4d79aeec9cd0";"2021-06-11T07:19:44";"";"";"submitted_via_web";"";"";"2"
"2021-06-11";"Chigumula market";"2021-06-11T08:12:00.000+02:00";"10";"2021-06-14T14:00:00.000+02:00";"7";"Monday";"Surgarcane remains";"Monday";"2021-06-14T19:01:00.000+02:00";"2";"70";"no";"10000";"";"";"";"185942773";"728715be-8732-4102-ae6a-dd27ec4ec255";"2021-06-17T06:38:17";"";"";"submitted_via_web";"";"";"3"
"2021-06-21";"Chigumula market";"2021-06-21T10:05:00.000+02:00";"19";"2021-06-21T13:30:00.000+02:00";"7";"Monday";"Surgarcane remains";"Monday";"2021-06-21T13:50:00.000+02:00";"2.8";"98";"no";"10000";"";"";"vx7nuVNaQyni9RPaRqYUXR";"187610064";"af31b816-3449-45f9-a8de-f3e22e9709f9";"2021-06-23T11:48:00";"";"";"submitted_via_web";"";"";"4"
"2021-07-02";"Chigumula market";"2021-07-02T11:18:00.000+02:00";"23";"2021-07-02T16:32:00.000+02:00";"7";"Friday";"Surgarcane remains";"Monday";"2021-07-05T14:00:00.000+02:00";"2.0";"70";"no";"0";"";"";"vx7nuVNaQyni9RPaRqYUXR";"191878814";"d06ea50c-a578-4326-93ad-644e7aab5af4";"2021-07-08T10:39:05";"";"";"submitted_via_web";"";"";"5"
"2021-07-08";"Chigumula market";"2021-07-08T12:39:00.000+02:00";"25";"2021-07-09T14:09:00.000+02:00";"7";"Thursday";"Surgarcane remains";"Friday";"2021-07-09T14:09:00.000+02:00";"1.3";"45";"no";"0";"";"";"vx7nuVNaQyni9RPaRqYUXR";"192940850";"569268e8-f6e5-4c3b-a932-ecf1ae321d8f";"2021-07-13T06:29:59";"";"";"submitted_via_web";"";"";"6"
"2021-07-19";"Chigumula market";"2021-07-19T11:35:00.000+02:00";"32";"2021-07-20T13:06:00.000+02:00";"7";"Tuesday";"Surgarcane remains";"Tuesday";"2021-07-20T13:07:00.000+02:00";"2.0";"70";"no";"0";"";"";"vx7nuVNaQyni9RPaRqYUXR";"195148627";"1153276f-5766-4d1a-b0c9-b1f9a3b53a22";"2021-07-22T15:19:16";"";"";"submitted_via_web";"";"";"7"
"2021-07-23";"Chigumula market";"2021-07-23T09:17:00.000+02:00";"37";"2021-07-25T16:10:00.000+02:00";"7";"Sunday";"Surgarcane remains";"Monday";"2021-07-26T11:53:00.000+02:00";"2.2";"77";"no";"0";"";"";"vx7nuVNaQyni9RPaRqYUXR";"196407087";"892e7dca-da61-4ba9-9acd-86f44bc32f30";"2021-07-28T07:30:48";"";"";"submitted_via_web";"";"";"8"
"2021-08-02";"Chigumula market";"2021-08-02T14:24:00.000+02:00";"34";"2021-08-03T12:20:00.000+02:00";"7";"Tuesday";"Surgarcane remains";"Tuesday";"2021-08-03T18:21:00.000+02:00";"1.5";"52";"no";"0";"";"";"vx7nuVNaQyni9RPaRqYUXR";"198864494";"a9444256-cea1-477f-ac59-c2ef879d31e1";"2021-08-05T06:14:17";"";"";"submitted_via_web";"";"";"9"
"2021-08-06";"Chigumula market";"2021-08-06T13:26:00.000+02:00";"36";"2021-08-09T06:30:00.000+02:00";"7";"Monday";"Surgarcane remains";"Tuesday";"2021-08-10T11:23:00.000+02:00";"2.0";"70";"no";"0";"";"";"vx7nuVNaQyni9RPaRqYUXR";"206065854";"705a3e61-51c6-405b-9b0a-32c0e183bcf6";"2021-08-23T10:40:15";"";"";"submitted_via_web";"";"";"10"
