"today";"Skip carried by?";"Skip origin?";"datetime";"Voucher ID #";"Skip purity measured";"Volume of inorganic waste in the skip";"Total trash volume in the skip";"Todays date and time";"day skip delivered at compost";"__version__";"_version_";"_version__001";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"_tags";"_index"
"2021-09-07";"BCC";"Bangwe";"";"";"yes";"35.0";"1225";"";"Friday";"vU3n6XjNNuhFYWnbWMVbUg";"vEr35Hsjd5y2M36rXBoVZp";"";"211636139";"3635f21f-36d9-4206-9ffa-c75d37d2bd12";"2021-09-07T10:28:17";"";"";"submitted_via_web";"";"";"1"
"2021-09-07";"BCC";"Bangwe";"";"";"yes";"29.5";"1032";"";"Friday";"vU3n6XjNNuhFYWnbWMVbUg";"vEr35Hsjd5y2M36rXBoVZp";"";"211636146";"54fa8d81-0203-4232-b133-b76b5b27c353";"2021-09-07T10:28:17";"";"";"submitted_via_web";"";"";"2"
"2021-09-07";"BCC";"Bangwe";"";"";"yes";"25.0";"875";"";"Friday";"vU3n6XjNNuhFYWnbWMVbUg";"vEr35Hsjd5y2M36rXBoVZp";"";"211636151";"0851f542-76df-434b-b662-3b55ec843126";"2021-09-07T10:28:18";"";"";"submitted_via_web";"";"";"3"
"2021-07-22";"";"Naizi";"2021-07-21T11:17:00.000+02:00";"28";"yes";"12.0";"420";"2021-07-21T16:18:00.000+02:00";"Wednesday";"vU3n6XjNNuhFYWnbWMVbUg";"";"";"195148831";"ed07743e-290c-400e-b3a4-d9aedf603484";"2021-07-22T15:19:48";"";"";"submitted_via_web";"";"";"4"
"2021-09-07";"BCC";"Bangwe";"";"";"yes";"30.0";"1050";"";"Friday";"vU3n6XjNNuhFYWnbWMVbUg";"vEr35Hsjd5y2M36rXBoVZp";"";"211636126";"342ec6b1-9656-4e9f-8272-b2cbeb415789";"2021-09-07T10:28:15";"";"";"submitted_via_web";"";"";"5"
"2021-09-07";"BCC";"Bangwe";"";"";"yes";"28.0";"980";"";"Friday";"vU3n6XjNNuhFYWnbWMVbUg";"vEr35Hsjd5y2M36rXBoVZp";"";"211636133";"9c7b5e74-bbf6-4872-8e4f-7547c631fda9";"2021-09-07T10:28:16";"";"";"submitted_via_web";"";"";"6"
"2021-09-07";"BCC";"Bangwe";"";"";"yes";"38.0";"1330";"";"Friday";"vU3n6XjNNuhFYWnbWMVbUg";"vEr35Hsjd5y2M36rXBoVZp";"";"211636157";"1613ffae-f984-4b35-a5dd-8db40e912e3b";"2021-09-07T10:28:19";"";"";"submitted_via_web";"";"";"7"
"2021-09-07";"BCC";"Bangwe";"";"";"yes";"33.5";"1172";"";"Friday";"vU3n6XjNNuhFYWnbWMVbUg";"vEr35Hsjd5y2M36rXBoVZp";"";"211636162";"5f49997b-122c-457d-b0a9-e47e6cd0366e";"2021-09-07T10:28:19";"";"";"submitted_via_web";"";"";"8"
"2021-09-13";"Key";"Limbe";"";"";"yes";"28.0";"980";"2021-09-13T10:10:00.000+02:00";"Monday";"vU3n6XjNNuhFYWnbWMVbUg";"vEr35Hsjd5y2M36rXBoVZp";"vXVEfmjHUR4eWNthUEEQry";"213852111";"2348b855-b336-4f35-b47c-dab4f82f27d1";"2021-09-14T08:13:00";"";"";"submitted_via_web";"";"";"9"
"2021-09-13";"Key";"Limbe";"";"";"yes";"25.0";"875";"2021-09-13T14:11:00.000+02:00";"Monday";"vU3n6XjNNuhFYWnbWMVbUg";"vEr35Hsjd5y2M36rXBoVZp";"vXVEfmjHUR4eWNthUEEQry";"213852117";"a0c27645-2e59-40c9-b073-d7772bde97f5";"2021-09-14T08:13:01";"";"";"submitted_via_web";"";"";"10"
"2021-09-13";"Key";"Limbe";"";"";"yes";"30.0";"1050";"2021-09-12T10:12:00.000+02:00";"Saturday";"vU3n6XjNNuhFYWnbWMVbUg";"vEr35Hsjd5y2M36rXBoVZp";"vXVEfmjHUR4eWNthUEEQry";"213852120";"6e8f2121-a140-49fd-bc03-2a78691c82da";"2021-09-14T08:13:01";"";"";"submitted_via_web";"";"";"11"
